#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:6
Basic	Medicaid::1. Fundamentals	What statute creates Medicaid, and when was it enacted?	Title XIX of the Social Security Act, added by the Social Security Amendments of 1965 (P.L. 89-97).<br><br><i>The same 1965 law created Medicare as Title XVIII. CHIP came later, as Title XXI (Balanced Budget Act of 1997).</i>		medicaid fundamentals statute
Cloze	Medicaid::1. Fundamentals	Medicare is {{c1::Title XVIII}} of the Social Security Act, Medicaid is {{c2::Title XIX}}, and CHIP is {{c3::Title XXI}}.			medicaid fundamentals statute basics
Basic	Medicaid::1. Fundamentals	In one sentence, what kind of program is Medicaid?	A joint federal-state program in which states design and administer coverage within federal rules, and the federal government matches state spending at an open-ended rate with no aggregate cap.<br><br><i>Two features do most of the analytic work: it is an <i>individual entitlement</i> (an eligible person cannot be turned away or waitlisted for state plan benefits) and the federal contribution is <i>open-ended</i> (no fixed federal dollar limit per state). Nearly every major reform proposal attacks one or both.</i>		medicaid fundamentals basics
Basic	Medicaid::1. Fundamentals	Is participation in Medicaid mandatory for states?	No. Participation is voluntary, but a state that participates must comply with all Title XIX requirements. Every state participates.<br><br><i>Adoption ran from 1966 (26 states in the first year) to 1982, when Arizona became the last state to join. This voluntariness is the constitutional hook in <i>NFIB v. Sebelius</i>.</i>		medicaid fundamentals basics federalism
Basic	Medicaid::1. Fundamentals	"What is a Medicaid ""state plan,"" and what is a SPA?"	The state plan is the comprehensive written agreement describing how a state will run its program (eligibility, benefits, payment, administration). Changes are made through a State Plan Amendment (SPA), submitted to CMS for approval.<br><br><i>An approved state plan is the contract that entitles a state to federal match. CMS has 90 days to act on a SPA and can stop the clock with a request for additional information.</i>		medicaid fundamentals basics administration
Basic	Medicaid::1. Fundamentals	Which federal agency administers Medicaid, and which body advises Congress on it?	CMS (specifically the Center for Medicaid and CHIP Services, CMCS), within HHS. MACPAC — the Medicaid and CHIP Payment and Access Commission — is the nonpartisan advisory body to Congress.<br><br><i>MACPAC was created by CHIPRA in 2009 and is Medicaid's analogue to MedPAC. Its MACStats data book is the standard reference for program statistics.</i>		medicaid fundamentals administration
Basic	Medicaid::1. Fundamentals	"What is the ""single state agency"" requirement?"	Federal law requires each state to designate one agency responsible for administering (or supervising the administration of) the Medicaid program, and that agency's authority may not be delegated to or overridden by another agency.<br><br><i>42 U.S.C. § 1396a(a)(5); 42 C.F.R. § 431.10. It matters in practice when eligibility is run by a human services department, behavioral health by another agency, or when counties administer intake.</i>		medicaid fundamentals administration federalism
Basic	Medicaid::1. Fundamentals	Name the three core state plan requirements that Medicaid waivers most often waive.	<ul><li><b>Statewideness</b> — the program must operate uniformly across the state</li><li><b>Comparability</b> — benefits must be equal in amount, duration, and scope across similarly situated enrollees</li><li><b>Freedom of choice</b> — enrollees may obtain services from any willing qualified provider</li></ul><br><br><i>Learning these three makes waiver authority legible: a 1915(b) waiver is mostly about freedom of choice; 1915(c) waives comparability and statewideness so HCBS can be targeted to a subgroup; 1115 can waive all three.</i>		medicaid fundamentals basics state-plan
Basic	Medicaid::1. Fundamentals	Three structural differences between Medicare and Medicaid.	<ul><li><b>Financing</b>: Medicare is federally financed (payroll tax, premiums, general revenue); Medicaid is jointly financed federal-state.</li><li><b>Eligibility</b>: Medicare is age/disability-based and near-universal at 65; Medicaid is means-tested.</li><li><b>Uniformity</b>: Medicare is essentially one national program; Medicaid is 56 programs (50 states, DC, 5 territories) with wide variation.</li></ul><br><br><i>A fourth: Medicaid covers long-term services and supports comprehensively; Medicare covers only short post-acute stays (up to 100 skilled nursing facility days per benefit period, with cost sharing after day 20).</i>		medicaid fundamentals basics comparison
Basic	Medicaid::1. Fundamentals	How does Medicaid work differently in the U.S. territories?	"Territories receive a capped federal allotment rather than open-ended matching, and a statutorily fixed FMAP rather than one computed from per capita income.<br><br><i>Puerto Rico, USVI, Guam, American Samoa, and the Northern Mariana Islands. Congress has repeatedly passed short-term allotment increases to avert a ""Medicaid cliff."" Territorial residents are also not subject to the same entitlement structure.</i>"		medicaid fundamentals territories financing
Basic	Medicaid::1. Fundamentals	How does CHIP differ structurally from Medicaid?	CHIP is a capped federal allotment (not an open-ended entitlement), carries an enhanced match rate, and gives states more design flexibility including waiting periods, premiums, and benefit packages.<br><br><i>States may run CHIP as a Medicaid expansion, a separate child health program, or a combination. Children in a Medicaid-expansion CHIP keep full Medicaid protections (including EPSDT); children in a separate CHIP program generally do not.</i>		medicaid fundamentals chip
Basic	Medicaid::1. Fundamentals	What is the enhanced FMAP (E-FMAP) for CHIP?	E-FMAP = regular FMAP plus 30 percent of the gap between the FMAP and 100 percent, which puts most states in the 65-85 percent range.<br><br><i>The ACA added a temporary 23 percentage point bump (FY2016-FY2019) that pushed several states to 100 percent; it has expired. CHIP funding was extended through FY2029 by the Bipartisan Budget Act of 2018.</i>		medicaid fundamentals chip financing
Basic	Medicaid::1. Fundamentals	Roughly how many people does Medicaid cover, and what does it spend?	Roughly 78-80 million people in Medicaid and CHIP combined, with total (federal + state) spending on the order of $950 billion-$1 trillion a year.<br><br><i>As of FY2025: CMS-64 medical services expenditures were about $971 billion, up 6.9 percent from FY2024. Enrollment fell about 7.6 percent in FY2025 as the unwinding completed, down from a pandemic peak near 94 million. <b>Verify current figures before citing</b> — MACStats and the KFF Medicaid Budget Survey are the standard sources.</i>		medicaid fundamentals size statistics
Basic	Medicaid::1. Fundamentals	What share of state budgets does Medicaid account for?	"Roughly 30 percent of total state expenditures counting federal funds — the single largest category — but a much smaller share (around 15-20 percent) of state general fund spending, where it typically ranks second behind K-12 education.<br><br><i>NASBO's State Expenditure Report is the source. The two framings are used rhetorically in opposite directions: ""Medicaid is a third of state budgets"" (all funds) versus ""Medicaid is a sixth"" (general fund). Always ask which denominator.</i>"		medicaid fundamentals size statistics
Basic	Medicaid::1. Fundamentals	Name four areas of American health care where Medicaid is the dominant payer.	<ul><li>Long-term services and supports (LTSS) — the largest payer nationally</li><li>Births — pays for roughly 4 in 10 U.S. births</li><li>Nursing facility residents — covers roughly 6 in 10</li><li>Behavioral health, including the largest payer of mental health and substance use treatment</li></ul><br><br><i>Also: roughly 1 in 3 to 4 children, and a large share of HIV care and school-based health services. Medicaid is about 18-19 percent of national health expenditures.</i>		medicaid fundamentals size statistics
